Request: insert
Med (μs): 1.218
Min (μs): 0.951
Max (μs): 1.360
90% (μs): 1.237
99% (μs): 1.249
99.9% (μs): 1.293
Request: replace
Batch size: 1000
Request per second: 981353
Avg (μs): 1.019
Med (μs): 1.029
Min (μs): 0.888
Max (μs): 1.072
90% (μs): 1.049
99% (μs): 1.057
99.9% (μs): 1.068
Request: delete
Batch size: 1000
Request per second: 854341
Avg (μs): 1.170
Med (μs): 1.185
Min (μs): 0.910
Max (μs): 1.360
90% (μs): 1.204
99% (μs): 1.217
99.9% (μs): 1.245
Request: insert
Batch size: 1000
Request per second: 979869
Avg (μs): 1.021
Med (μs): 1.030
Min (μs): 0.912
Max (μs): 1.066
90% (μs): 1.051
99% (μs): 1.061
99.9% (μs): 1.066
Request: select
Batch size: 1000
Request per second: 828983
Avg (μs): 1.206
Med (μs): 1.219
Min (μs): 0.951
Max (μs): 1.408
90% (μs): 1.239
99% (μs): 1.253
99.9% (μs): 1.364
Request: replace
Batch size: 1000
Request per second: 980773
Avg (μs): 1.020
Med (μs): 1.031
Min (μs): 0.886
Max (μs): 1.067
90% (μs): 1.046
99% (μs): 1.056
99.9% (μs): 1.066
Request: delete
Batch size: 1000
Request per second: 857814
Avg (μs): 1.166
Med (μs): 1.180
Min (μs): 0.914
Max (μs): 1.400
90% (μs): 1.198
99% (μs): 1.211
99.9% (μs): 1.275
Request: insert
Batch size: 1000
Request per second: 981668
Avg (μs): 1.019
Med (μs): 1.029
Min (μs): 0.893
Max (μs): 1.056
90% (μs): 1.045
99% (μs): 1.053
99.9% (μs): 1.055
Request: select
Batch size: 1000
Request per second: 828636
Avg (μs): 1.207
Med (μs): 1.220
Min (μs): 0.941
Max (μs): 1.388
90% (μs): 1.238
99% (μs): 1.250
99.9% (μs): 1.349
Request: replace
Batch size: 1000
Request per second: 977455
Avg (μs): 1.023
Med (μs): 1.034
Min (μs): 0.899
Max (μs): 1.069
90% (μs): 1.050
99% (μs): 1.058
99.9% (μs): 1.066
Request: delete
Batch size: 1000
Request per second: 852868
Avg (μs): 1.173
Med (μs): 1.186
Min (μs): 0.917
Max (μs): 1.375
90% (μs): 1.207
99% (μs): 1.217
99.9% (μs): 1.249
Request: insert
Batch size: 1000
Request per second: 985619
Avg (μs): 1.015
Med (μs): 1.023
Min (μs): 0.894
Max (μs): 1.173
90% (μs): 1.046
99% (μs): 1.054
99.9% (μs): 1.066
Request: select
Batch size: 1000
Request per second: 829785
Avg (μs): 1.205
Med (μs): 1.218
Min (μs): 0.957
Max (μs): 1.372
90% (μs): 1.238
99% (μs): 1.250
99.9% (μs): 1.257
Request: replace
Batch size: 1000
Request per second: 981845
Avg (μs): 1.018
Med (μs): 1.030
Min (μs): 0.892
Max (μs): 1.137
90% (μs): 1.046
99% (μs): 1.057
99.9% (μs): 1.062
Request: delete
Batch size: 1000
Request per second: 857748
Avg (μs): 1.166
Med (μs): 1.179
Min (μs): 0.925
Max (μs): 1.405
90% (μs): 1.198
99% (μs): 1.211
99.9% (μs): 1.252
Request: insert
Batch size: 1000
Request per second: 980734
Avg (μs): 1.020
Med (μs): 1.030
Min (μs): 0.908
Max (μs): 1.103
90% (μs): 1.050
99% (μs): 1.060
99.9% (μs): 1.066
Request: select
Batch size: 1000
Request per second: 829209
Avg (μs): 1.206
Med (μs): 1.219
Min (μs): 0.954
Max (μs): 1.370
90% (μs): 1.239
99% (μs): 1.250
99.9% (μs): 1.361
Request: replace
Batch size: 1000
Request per second: 982627
Avg (μs): 1.018
Med (μs): 1.024
Min (μs): 0.888
Max (μs): 1.082
90% (μs): 1.050
99% (μs): 1.060
99.9% (μs): 1.066
Request: delete
Batch size: 1000
Request per second: 856141
Avg (μs): 1.168
Med (μs): 1.182
Min (μs): 0.918
Max (μs): 1.409
90% (μs): 1.201
99% (μs): 1.211
99.9% (μs): 1.262
Request: insert
Batch size: 1000
Request per second: 980836
Avg (μs): 1.020
Med (μs): 1.028
Min (μs): 0.915
Max (μs): 1.072
90% (μs): 1.049
99% (μs): 1.060
99.9% (μs): 1.069
Request: select
Batch size: 1000
Request per second: 828546
Avg (μs): 1.207
Med (μs): 1.220
Min (μs): 0.951
Max (μs): 1.395
90% (μs): 1.240
99% (μs): 1.251
99.9% (μs): 1.301
Request: replace
Batch size: 1000
Request per second: 978271
Avg (μs): 1.022
Med (μs): 1.033
Min (μs): 0.895
Max (μs): 1.070
90% (μs): 1.052
99% (μs): 1.063
99.9% (μs): 1.070
Request: delete
Batch size: 1000
Request per second: 855747
Avg (μs): 1.169
Med (μs): 1.181
Min (μs): 0.910
Max (μs): 1.390
90% (μs): 1.201
99% (μs): 1.213
99.9% (μs): 1.250
Request: insert
Batch size: 1000
Request per second: 871604
Avg (μs): 1.147
Med (μs): 1.010
Min (μs): 0.894
Max (μs): 142.700
90% (μs): 1.040
99% (μs): 1.088
99.9% (μs): 1.781
Request: select
Batch size: 1000
Request per second: 832513
Avg (μs): 1.201
Med (μs): 1.216
Min (μs): 0.946
Max (μs): 1.368
90% (μs): 1.234
99% (μs): 1.246
99.9% (μs): 1.259
Request: replace
Batch size: 1000
Request per second: 984338
Avg (μs): 1.016
Med (μs): 1.024
Min (μs): 0.911
Max (μs): 1.078
90% (μs): 1.044
99% (μs): 1.054
99.9% (μs): 1.066
Request: delete
Batch size: 1000
Request per second: 858724
Avg (μs): 1.165
Med (μs): 1.177
Min (μs): 0.921
Max (μs): 1.394
90% (μs): 1.198
99% (μs): 1.208
99.9% (μs): 1.270
Request: insert
Batch size: 1000
Request per second: 979877
Avg (μs): 1.021
Med (μs): 1.030
Min (μs): 0.901
Max (μs): 1.126
90% (μs): 1.049
99% (μs): 1.060
99.9% (μs): 1.076
Request: select
Batch size: 1000
Request per second: 829742
Avg (μs): 1.205
Med (μs): 1.220
Min (μs): 0.948
Max (μs): 1.395
90% (μs): 1.236
99% (μs): 1.249
99.9% (μs): 1.263
Request: replace
Batch size: 1000
Request per second: 983185
Avg (μs): 1.017
Med (μs): 1.026
Min (μs): 0.884
Max (μs): 1.063
90% (μs): 1.045
99% (μs): 1.055
99.9% (μs): 1.059
Request: delete
Batch size: 1000
Request per second: 858324
Avg (μs): 1.165
Med (μs): 1.179
Min (μs): 0.918
Max (μs): 1.384
90% (μs): 1.199
99% (μs): 1.211
99.9% (μs): 1.257
Request: insert
Batch size: 1000
Request per second: 983861
Avg (μs): 1.016
Med (μs): 1.026
Min (μs): 0.892
Max (μs): 1.067
90% (μs): 1.045
99% (μs): 1.055
99.9% (μs): 1.060
Request: select
Batch size: 1000
Request per second: 831757
Avg (μs): 1.202
Med (μs): 1.217
Min (μs): 0.947
Max (μs): 1.308
90% (μs): 1.234
99% (μs): 1.246
99.9% (μs): 1.260
Request: replace
Batch size: 1000
Request per second: 983171
Avg (μs): 1.017
Med (μs): 1.025
Min (μs): 0.913
Max (μs): 1.069
90% (μs): 1.046
99% (μs): 1.060
99.9% (μs): 1.067
Request: delete
Batch size: 1000
Request per second: 856671
Avg (μs): 1.167
Med (μs): 1.181
Min (μs): 0.920
Max (μs): 1.410
90% (μs): 1.200
99% (μs): 1.213
99.9% (μs): 1.267
Request: insert
Batch size: 1000
Request per second: 983906
Avg (μs): 1.016
Med (μs): 1.025
Min (μs): 0.901
Max (μs): 1.060
90% (μs): 1.045
99% (μs): 1.054
99.9% (μs): 1.059
Request: select
Batch size: 1000
Request per second: 828839
Avg (μs): 1.207
Med (μs): 1.221
Min (μs): 0.947
Max (μs): 1.384
90% (μs): 1.240
99% (μs): 1.252
99.9% (μs): 1.358
Request: replace
Batch size: 1000
Request per second: 985004
Avg (μs): 1.015
Med (μs): 1.024
Min (μs): 0.894
Max (μs): 1.073
90% (μs): 1.044
99% (μs): 1.055
99.9% (μs): 1.065
Request: delete
Batch size: 1000
Request per second: 854187
Avg (μs): 1.171
Med (μs): 1.184
Min (μs): 0.923
Max (μs): 1.347
90% (μs): 1.203
99% (μs): 1.213
99.9% (μs): 1.236
Request: insert
Batch size: 1000
Request per second: 984363
Avg (μs): 1.016
Med (μs): 1.024
Min (μs): 0.918
Max (μs): 1.070
90% (μs): 1.044
99% (μs): 1.057
99.9% (μs): 1.064
Request: select
Batch size: 1000
Request per second: 826932
Avg (μs): 1.209
Med (μs): 1.223
Min (μs): 0.951
Max (μs): 1.375
90% (μs): 1.242
99% (μs): 1.255
99.9% (μs): 1.263
Request: replace
Batch size: 1000
Request per second: 981252
Avg (μs): 1.019
Med (μs): 1.029
Min (μs): 0.906
Max (μs): 1.070
90% (μs): 1.047
99% (μs): 1.056
99.9% (μs): 1.063
Request: delete
Batch size: 1000
Request per second: 856228
Avg (μs): 1.168
Med (μs): 1.182
Min (μs): 0.915
Max (μs): 1.397
90% (μs): 1.201
99% (μs): 1.213
99.9% (μs): 1.336
Request: insert
Batch size: 1000
Request per second: 983827
Avg (μs): 1.016
Med (μs): 1.025
Min (μs): 0.906
Max (μs): 1.062
90% (μs): 1.044
99% (μs): 1.056
99.9% (μs): 1.061
Request: select
Batch size: 1000
Request per second: 829264
Avg (μs): 1.206
Med (μs): 1.219
Min (μs): 0.951
Max (μs): 1.403
90% (μs): 1.237
99% (μs): 1.250
99.9% (μs): 1.392
Request: replace
Batch size: 1000
Request per second: 983767
Avg (μs): 1.017
Med (μs): 1.026
Min (μs): 0.904
Max (μs): 1.066
90% (μs): 1.043
99% (μs): 1.054
99.9% (μs): 1.064
Request: delete
Batch size: 1000
Request per second: 856283
Avg (μs): 1.168
Med (μs): 1.182
Min (μs): 0.919
Max (μs): 1.379
90% (μs): 1.201
99% (μs): 1.214
99.9% (μs): 1.246
Request: insert
Batch size: 1000
Request per second: 983018
Avg (μs): 1.017
Med (μs): 1.027
Min (μs): 0.914
Max (μs): 1.151
90% (μs): 1.045
99% (μs): 1.058
99.9% (μs): 1.103
Request: select
Batch size: 1000
Request per second: 827850
Avg (μs): 1.208
Med (μs): 1.222
Min (μs): 0.952
Max (μs): 1.375
90% (μs): 1.240
99% (μs): 1.253
99.9% (μs): 1.361
Request: replace
Batch size: 1000
Request per second: 979679
Avg (μs): 1.021
Med (μs): 1.031
Min (μs): 0.904
Max (μs): 1.069
90% (μs): 1.051
99% (μs): 1.063
99.9% (μs): 1.067
Request: delete
Batch size: 1000
Request per second: 855949
Avg (μs): 1.168
Med (μs): 1.182
Min (μs): 0.918
Max (μs): 1.400
90% (μs): 1.202
99% (μs): 1.214
99.9% (μs): 1.261
Request: insert
Batch size: 1000
Request per second: 983851
Avg (μs): 1.016
Med (μs): 1.025
Min (μs): 0.901
Max (μs): 1.166
90% (μs): 1.045
99% (μs): 1.056
99.9% (μs): 1.070
Request: select
Batch size: 1000
Request per second: 828112
Avg (μs): 1.208
Med (μs): 1.221
Min (μs): 0.945
Max (μs): 1.393
90% (μs): 1.239
99% (μs): 1.252
99.9% (μs): 1.262
Request: replace
Batch size: 1000
Request per second: 981643
Avg (μs): 1.019
Med (μs): 1.028
Min (μs): 0.909
Max (μs): 1.071
90% (μs): 1.046
99% (μs): 1.057
99.9% (μs): 1.070
Request: delete
Batch size: 1000
Request per second: 855314
Avg (μs): 1.169
Med (μs): 1.183
Min (μs): 0.918
Max (μs): 1.396
90% (μs): 1.201
99% (μs): 1.212
99.9% (μs): 1.241
Request: insert
Batch size: 1000
Request per second: 981776
Avg (μs): 1.019
Med (μs): 1.028
Min (μs): 0.907
Max (μs): 1.063
90% (μs): 1.046
99% (μs): 1.057
99.9% (μs): 1.063
Request: select
Batch size: 1000
Request per second: 828162
Avg (μs): 1.207
Med (μs): 1.222
Min (μs): 0.950
Max (μs): 1.392
90% (μs): 1.239
99% (μs): 1.253
99.9% (μs): 1.265
Request: replace
Batch size: 1000
Request per second: 981352
Avg (μs): 1.019
Med (μs): 1.028
Min (μs): 0.892
Max (μs): 1.066
90% (μs): 1.048
99% (μs): 1.058
99.9% (μs): 1.061
Request: delete
Batch size: 1000
Request per second: 856338
Avg (μs): 1.168
Med (μs): 1.182
Min (μs): 0.919
Max (μs): 1.377
90% (μs): 1.201
99% (μs): 1.211
99.9% (μs): 1.247
Request: insert
Batch size: 1000
Request per second: 982657
Avg (μs): 1.018
Med (μs): 1.026
Min (μs): 0.900
Max (μs): 1.068
90% (μs): 1.046
99% (μs): 1.057
99.9% (μs): 1.063
Request: select
Batch size: 1000
Request per second: 829501
Avg (μs): 1.206
Med (μs): 1.219
Min (μs): 0.948
Max (μs): 1.343
90% (μs): 1.236
99% (μs): 1.249
99.9% (μs): 1.332
Request: replace
Batch size: 1000
Request per second: 983872
Avg (μs): 1.016
Med (μs): 1.026
Min (μs): 0.901
Max (μs): 1.065
90% (μs): 1.044
99% (μs): 1.052
99.9% (μs): 1.060
Request: delete
Batch size: 1000
Request per second: 856829
Avg (μs): 1.167
Med (μs): 1.182
Min (μs): 0.917
Max (μs): 1.359
90% (μs): 1.201
99% (μs): 1.214
99.9% (μs): 1.234
Request: insert
Batch size: 1000
Request per second: 877232
Avg (μs): 1.140
Med (μs): 1.005
Min (μs): 0.902
Max (μs): 139.647
90% (μs): 1.035
99% (μs): 1.081
99.9% (μs): 1.840
Request: select
Batch size: 1000
Request per second: 834266
Avg (μs): 1.199
Med (μs): 1.212
Min (μs): 0.951
Max (μs): 1.355
90% (μs): 1.230
99% (μs): 1.243
99.9% (μs): 1.278
Request: replace
Batch size: 1000
Request per second: 989410
Avg (μs): 1.011
Med (μs): 1.020
Min (μs): 0.908
Max (μs): 1.057
90% (μs): 1.038
99% (μs): 1.049
99.9% (μs): 1.055
Request: delete
Batch size: 1000
Request per second: 863116
Avg (μs): 1.159
Med (μs): 1.173
Min (μs): 0.907
Max (μs): 1.393
90% (μs): 1.191
99% (μs): 1.201
99.9% (μs): 1.342
Request: insert
Batch size: 1000
Request per second: 985607
Avg (μs): 1.015
Med (μs): 1.024
Min (μs): 0.894
Max (μs): 1.172
90% (μs): 1.044
99% (μs): 1.053
99.9% (μs): 1.058
Request: select
Batch size: 1000
Request per second: 832239
Avg (μs): 1.202
Med (μs): 1.216
Min (μs): 0.942
Max (μs): 1.349
90% (μs): 1.234
99% (μs): 1.248
99.9% (μs): 1.281
Request: replace
Batch size: 1000
Request per second: 986996
Avg (μs): 1.013
Med (μs): 1.021
Min (μs): 0.907
Max (μs): 1.066
90% (μs): 1.042
99% (μs): 1.053
99.9% (μs): 1.060
Request: delete
Batch size: 1000
Request per second: 862128
Avg (μs): 1.160
Med (μs): 1.174
Min (μs): 0.924
Max (μs): 1.362
90% (μs): 1.191
99% (μs): 1.203
99.9% (μs): 1.260
Request: insert
Batch size: 1000
Request per second: 987898
Avg (μs): 1.012
Med (μs): 1.021
Min (μs): 0.891
Max (μs): 1.067
90% (μs): 1.042
99% (μs): 1.053
99.9% (μs): 1.062
Request: select
Batch size: 1000
Request per second: 833611
Avg (μs): 1.200
Med (μs): 1.214
Min (μs): 0.940
Max (μs): 1.345
90% (μs): 1.232
99% (μs): 1.243
99.9% (μs): 1.251
Request: replace
Batch size: 1000
Request per second: 987513
Avg (μs): 1.013
Med (μs): 1.021
Min (μs): 0.889
Max (μs): 1.062
90% (μs): 1.041
99% (μs): 1.053
99.9% (μs): 1.061
Request: delete
Batch size: 1000
Request per second: 861975
Avg (μs): 1.160
Med (μs): 1.174
Min (μs): 0.911
Max (μs): 1.360
90% (μs): 1.192
99% (μs): 1.205
99.9% (μs): 1.241
Request: insert
Batch size: 1000
Request per second: 987796
Avg (μs): 1.012
Med (μs): 1.022
Min (μs): 0.903
Max (μs): 1.060
90% (μs): 1.041
99% (μs): 1.053
99.9% (μs): 1.057
Request: select
Batch size: 1000
Request per second: 833669
Avg (μs): 1.200
Med (μs): 1.214
Min (μs): 0.940
Max (μs): 1.290
90% (μs): 1.232
99% (μs): 1.243
99.9% (μs): 1.262
Request: replace
Batch size: 1000
Request per second: 988146
Avg (μs): 1.012
Med (μs): 1.021
Min (μs): 0.898
Max (μs): 1.059
90% (μs): 1.040
99% (μs): 1.051
99.9% (μs): 1.058
Request: delete
Batch size: 1000
Request per second: 862044
Avg (μs): 1.160
Med (μs): 1.173
Min (μs): 0.912
Max (μs): 1.396
90% (μs): 1.192
99% (μs): 1.203
99.9% (μs): 1.252
Request: insert
Batch size: 1000
Request per second: 988226
Avg (μs): 1.012
Med (μs): 1.020
Min (μs): 0.897
Max (μs): 1.056
90% (μs): 1.040
99% (μs): 1.050
99.9% (μs): 1.056
Request: select
Batch size: 1000
Request per second: 834175
Avg (μs): 1.199
Med (μs): 1.213
Min (μs): 0.942
Max (μs): 1.292
90% (μs): 1.231
99% (μs): 1.244
99.9% (μs): 1.249
Request: replace
Batch size: 1000
Request per second: 984964
Avg (μs): 1.015
Med (μs): 1.025
Min (μs): 0.894
Max (μs): 1.173
90% (μs): 1.043
99% (μs): 1.054
99.9% (μs): 1.067
Request: delete
Batch size: 1000
Request per second: 859193
Avg (μs): 1.164
Med (μs): 1.179
Min (μs): 0.924
Max (μs): 1.385
90% (μs): 1.197
99% (μs): 1.209
99.9% (μs): 1.260
Request: insert
Batch size: 1000
Request per second: 988244
Avg (μs): 1.012
Med (μs): 1.021
Min (μs): 0.888
Max (μs): 1.056
90% (μs): 1.040
99% (μs): 1.050
99.9% (μs): 1.056
Request: select
Batch size: 1000
Request per second: 833844
Avg (μs): 1.199
Med (μs): 1.214
Min (μs): 0.949
Max (μs): 1.341
90% (μs): 1.231
99% (μs): 1.242
99.9% (μs): 1.248
Request: replace
Batch size: 1000
Request per second: 985116
Avg (μs): 1.015
Med (μs): 1.024
Min (μs): 0.904
Max (μs): 1.063
90% (μs): 1.042
99% (μs): 1.053
99.9% (μs): 1.063
Request: delete
Batch size: 1000
Request per second: 861934
Avg (μs): 1.160
Med (μs): 1.173
Min (μs): 0.929
Max (μs): 1.320
90% (μs): 1.192
99% (μs): 1.202
99.9% (μs): 1.232
Request: insert
Batch size: 1000
Request per second: 987658
Avg (μs): 1.012
Med (μs): 1.021
Min (μs): 0.914
Max (μs): 1.062
90% (μs): 1.041
99% (μs): 1.052
99.9% (μs): 1.059
Request: select
Batch size: 1000
Request per second: 832204
Avg (μs): 1.202
Med (μs): 1.216
Min (μs): 0.949
Max (μs): 1.360
90% (μs): 1.233
99% (μs): 1.247
99.9% (μs): 1.263
Request: replace
Batch size: 1000
Request per second: 986667
Avg (μs): 1.014
Med (μs): 1.023
Min (μs): 0.913
Max (μs): 1.065
90% (μs): 1.042
99% (μs): 1.053
99.9% (μs): 1.059
Request: delete
Batch size: 1000
Request per second: 860165
Avg (μs): 1.163
Med (μs): 1.176
Min (μs): 0.918
Max (μs): 1.361
90% (μs): 1.196
99% (μs): 1.208
99.9% (μs): 1.242
Request: insert
Batch size: 1000
Request per second: 987438
Avg (μs): 1.013
Med (μs): 1.022
Min (μs): 0.899
Max (μs): 1.059
90% (μs): 1.040
99% (μs): 1.050
99.9% (μs): 1.057
Request: select
Batch size: 1000
Request per second: 834019
Avg (μs): 1.199
Med (μs): 1.213
Min (μs): 0.947
Max (μs): 1.382
90% (μs): 1.230
99% (μs): 1.245
99.9% (μs): 1.325
Request: replace
Batch size: 1000
Request per second: 985805
Avg (μs): 1.014
Med (μs): 1.023
Min (μs): 0.889
Max (μs): 1.174
90% (μs): 1.043
99% (μs): 1.054
99.9% (μs): 1.077
Request: delete
Batch size: 1000
Request per second: 861315
Avg (μs): 1.161
Med (μs): 1.175
Min (μs): 0.914
Max (μs): 1.402
90% (μs): 1.193
99% (μs): 1.204
99.9% (μs): 1.252
Request: insert
Batch size: 1000
Request per second: 987515
Avg (μs): 1.013
Med (μs): 1.022
Min (μs): 0.894
Max (μs): 1.143
90% (μs): 1.040
99% (μs): 1.052
99.9% (μs): 1.057
Request: select
Batch size: 1000
Request per second: 833724
Avg (μs): 1.199
Med (μs): 1.214
Min (μs): 0.948
Max (μs): 1.367
90% (μs): 1.231
99% (μs): 1.244
99.9% (μs): 1.356
Request: replace
Batch size: 1000
Request per second: 984413
Avg (μs): 1.016
Med (μs): 1.025
Min (μs): 0.907
Max (μs): 1.063
90% (μs): 1.044
99% (μs): 1.054
99.9% (μs): 1.061
Request: delete
Batch size: 1000
Request per second: 861145
Avg (μs): 1.161
Med (μs): 1.176
Min (μs): 0.913
Max (μs): 1.378
90% (μs): 1.194
99% (μs): 1.203
99.9% (μs): 1.260
Request: insert
Batch size: 1000
Request per second: 986897
Avg (μs): 1.013
Med (μs): 1.022
Min (μs): 0.901
Max (μs): 1.079
90% (μs): 1.042
99% (μs): 1.053
99.9% (μs): 1.056
Request: select
Batch size: 1000
Request per second: 833907
Avg (μs): 1.199
Med (μs): 1.214
Min (μs): 0.941
Max (μs): 1.326
90% (μs): 1.231
99% (μs): 1.243
99.9% (μs): 1.250
Request: replace
Batch size: 1000
Request per second: 985074
Avg (μs): 1.015
Med (μs): 1.024
Min (μs): 0.899
Max (μs): 1.132
90% (μs): 1.044
99% (μs): 1.056
99.9% (μs): 1.060
Request: delete
Batch size: 1000
Request per second: 861712
Avg (μs): 1.160
Med (μs): 1.174
Min (μs): 0.915
Max (μs): 1.397
90% (μs): 1.193
99% (μs): 1.205
99.9% (μs): 1.271
Request: insert
Batch size: 1000
Request per second: 826581
Avg (μs): 1.210
Med (μs): 1.045
Min (μs): 0.903
Max (μs): 140.661
90% (μs): 1.074
99% (μs): 1.192
99.9% (μs): 30.897
Request: select
Batch size: 1000
Request per second: 806242
Avg (μs): 1.240
Med (μs): 1.256
Min (μs): 0.967
Max (μs): 1.374
90% (μs): 1.274
99% (μs): 1.292
99.9% (μs): 1.306
Request: replace
Batch size: 1000
Request per second: 950723
Avg (μs): 1.052
Med (μs): 1.063
Min (μs): 0.913
Max (μs): 1.206
90% (μs): 1.080
99% (μs): 1.093
99.9% (μs): 1.106
Request: delete
Batch size: 1000
Request per second: 833014
Avg (μs): 1.200
Med (μs): 1.218
Min (μs): 0.921
Max (μs): 1.398
90% (μs): 1.235
99% (μs): 1.253
99.9% (μs): 1.311
Request: insert
Batch size: 1000
Request per second: 950445
Avg (μs): 1.052
Med (μs): 1.062
Min (μs): 0.910
Max (μs): 1.104
90% (μs): 1.080
99% (μs): 1.091
99.9% (μs): 1.101
Request: select
Batch size: 1000
Request per second: 806578
Avg (μs): 1.240
Med (μs): 1.256
Min (μs): 0.959
Max (μs): 1.416
90% (μs): 1.273
99% (μs): 1.292
99.9% (μs): 1.308
Request: replace
Batch size: 1000
Request per second: 952158
Avg (μs): 1.050
Med (μs): 1.061
Min (μs): 0.915
Max (μs): 1.097
90% (μs): 1.080
99% (μs): 1.091
99.9% (μs): 1.097
Request: delete
Batch size: 1000
Request per second: 837724
Avg (μs): 1.194
Med (μs): 1.209
Min (μs): 0.918
Max (μs): 1.451
90% (μs): 1.226
99% (μs): 1.247
99.9% (μs): 1.353
Request: insert
Batch size: 1000
Request per second: 954564
Avg (μs): 1.048
Med (μs): 1.058
Min (μs): 0.896
Max (μs): 1.100
90% (μs): 1.075
99% (μs): 1.086
99.9% (μs): 1.098
Request: select
Batch size: 1000
Request per second: 805184
Avg (μs): 1.242
Med (μs): 1.259
Min (μs): 0.967
Max (μs): 1.439
90% (μs): 1.277
99% (μs): 1.294
99.9% (μs): 1.315
Request: replace
Batch size: 1000
Request per second: 953166
Avg (μs): 1.049
Med (μs): 1.059
Min (μs): 0.909
Max (μs): 1.103
90% (μs): 1.077
99% (μs): 1.088
99.9% (μs): 1.098
Request: delete
Batch size: 1000
Request per second: 834168
Avg (μs): 1.199
Med (μs): 1.214
Min (μs): 0.936
Max (μs): 1.437
90% (μs): 1.233
99% (μs): 1.249
99.9% (μs): 1.308
Request: insert
Batch size: 1000
Request per second: 954309
Avg (μs): 1.048
Med (μs): 1.059
Min (μs): 0.901
Max (μs): 1.092
90% (μs): 1.077
99% (μs): 1.086
99.9% (μs): 1.090
Request: select
Batch size: 1000
Request per second: 806583
Avg (μs): 1.240
Med (μs): 1.257
Min (μs): 0.956
Max (μs): 1.450
90% (μs): 1.273
99% (μs): 1.295
99.9% (μs): 1.402
Request: replace
Batch size: 1000
Request per second: 953740
Avg (μs): 1.049
Med (μs): 1.057
Min (μs): 0.908
Max (μs): 1.105
90% (μs): 1.077
99% (μs): 1.089
99.9% (μs): 1.104
Request: delete
Batch size: 1000
Request per second: 833035
Avg (μs): 1.200
Med (μs): 1.216
Min (μs): 0.936
Max (μs): 1.460
90% (μs): 1.234
99% (μs): 1.250
99.9% (μs): 1.302
Request: insert
Batch size: 1000
Request per second: 951928
Avg (μs): 1.050
Med (μs): 1.061
Min (μs): 0.923
Max (μs): 1.094
90% (μs): 1.079
99% (μs): 1.088
99.9% (μs): 1.093
Request: select
Batch size: 1000
Request per second: 805948
Avg (μs): 1.241
Med (μs): 1.256
Min (μs): 0.967
Max (μs): 1.382
90% (μs): 1.273
99% (μs): 1.291
99.9% (μs): 1.305
Request: replace
Batch size: 1000
Request per second: 949257
Avg (μs): 1.053
Med (μs): 1.064
Min (μs): 0.925
Max (μs): 1.106
90% (μs): 1.084
99% (μs): 1.095
99.9% (μs): 1.103
Request: delete
Batch size: 1000
Request per second: 829882
Avg (μs): 1.205
Med (μs): 1.222
Min (μs): 0.941
Max (μs): 1.472
90% (μs): 1.240
99% (μs): 1.257
99.9% (μs): 1.346
Request: insert
Batch size: 1000
Request per second: 954974
Avg (μs): 1.047
Med (μs): 1.056
Min (μs): 0.907
Max (μs): 1.097
90% (μs): 1.074
99% (μs): 1.085
99.9% (μs): 1.097
Request: select
Batch size: 1000
Request per second: 802519
Avg (μs): 1.246
Med (μs): 1.262
Min (μs): 0.969
Max (μs): 1.409
90% (μs): 1.281
99% (μs): 1.299
99.9% (μs): 1.380
Request: replace
Batch size: 1000
Request per second: 955514
Avg (μs): 1.047
Med (μs): 1.056
Min (μs): 0.898
Max (μs): 1.094
90% (μs): 1.075
99% (μs): 1.085
99.9% (μs): 1.094
Request: delete
Batch size: 1000
Request per second: 833656
Avg (μs): 1.200
Med (μs): 1.215
Min (μs): 0.938
Max (μs): 1.474
90% (μs): 1.235
99% (μs): 1.251
99.9% (μs): 1.302
Request: insert
Batch size: 1000
Request per second: 953771
Avg (μs): 1.048
Med (μs): 1.060
Min (μs): 0.905
Max (μs): 1.164
90% (μs): 1.077
99% (μs): 1.087
99.9% (μs): 1.095
Request: select
Batch size: 1000
Request per second: 803573
Avg (μs): 1.244
Med (μs): 1.261
Min (μs): 0.970
Max (μs): 1.418
90% (μs): 1.278
99% (μs): 1.295
99.9% (μs): 1.313
Request: replace
Batch size: 1000
Request per second: 955259
Avg (μs): 1.047
Med (μs): 1.058
Min (μs): 0.906
Max (μs): 1.089
90% (μs): 1.074
99% (μs): 1.083
99.9% (μs): 1.089
Request: delete
Batch size: 1000
Request per second: 833081
Avg (μs): 1.200
Med (μs): 1.216
Min (μs): 0.931
Max (μs): 1.468
90% (μs): 1.236
99% (μs): 1.254
99.9% (μs): 1.365
Request: insert
Batch size: 1000
Request per second: 955767
Avg (μs): 1.046
Med (μs): 1.056
Min (μs): 0.916
Max (μs): 1.105
90% (μs): 1.075
99% (μs): 1.085
99.9% (μs): 1.094
Request: select
Batch size: 1000
Request per second: 803581
Avg (μs): 1.244
Med (μs): 1.261
Min (μs): 0.967
Max (μs): 1.376
90% (μs): 1.277
99% (μs): 1.299
99.9% (μs): 1.307
Request: replace
Batch size: 1000
Request per second: 955836
Avg (μs): 1.046
Med (μs): 1.056
Min (μs): 0.909
Max (μs): 1.093
90% (μs): 1.074
99% (μs): 1.085
99.9% (μs): 1.093
Request: delete
Batch size: 1000
Request per second: 833549
Avg (μs): 1.200
Med (μs): 1.216
Min (μs): 0.931
Max (μs): 1.440
90% (μs): 1.233
99% (μs): 1.250
99.9% (μs): 1.313
Request: insert
Batch size: 1000
